Planeta;Coro;Aroma;Talisman;Ofrenda;Don Ser de Luz
Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la Tierra
Jupiter;Dominaciones;Azahar y Limon;Limones;Cuarzo Rosado y Verde,velas, incienso, Amatista;Perseverancia y Salvacion
Luna;Guardianes;Flores Silvetres, frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina
Marte;Potestades;Incienso y Flores;Caracoles;Hojas de Pino, Esmeralda;Control de los Enemigos
Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente
Urano;Querubines;Rosas y Fresas;Gemas Amarillas;Objetos Brillantes;Iluminacion y sabiduria
Neptuno;Serafines;Flores Blancas, Jazmines y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios
Saturno;Tronos;Flores de Lavanda;Cristales;Flores de Lavanda;Conocimiento sobre el mundo visible e invisible
Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso,Sandalo,Rosas,Cuarzo Rosa;Triunfos y milagros
